NumDynamicObstacles,Algorithm,MonteCarloIndex,ScenarioSeed,Success,Collision,TriggerRatePercent,AvgCPUms,MaxCPUms,StdCPUms,MinDistanceMeter,MinClearanceMeter,ControlEffort,TotalClimbMeter,EstEnergyWh,Steps
5,NP-ET-NMPC,7,35033,1,0,75.187969924812,1969.17305263158,2779.7422,1136.25524756524,3.43153131614595,1.4917827244668,103.141364153484,10.65835123804,0.218331756812223,133
5,NP-ET-NMPC,8,35034,1,0,75.5555555555556,1978.93937925926,2797.5683,1130.70273937472,2.53796522470698,0.703965311499475,103.412454149006,11.0903967033439,0.222856050565122,135
5,NP-ET-NMPC,9,35035,1,0,74.6268656716418,1951.94562089552,2799.5295,1143.19408025211,1.99287274861365,0.386663341979541,103.539183802263,10.7004250797771,0.219787142195263,134
5,NP-ET-NMPC,10,35036,0,1,54.4117647058823,1430.60419558824,2704.7008,1319.49978913674,1.9284663828055,-0.0866179302144587,47.5333194971085,5.67748322070172,0.112578253319817,68
5,NP-ET-NMPC,11,35037,1,0,77.8523489932886,2047.20755973154,2784.1052,1096.60097883736,3.37585678746589,1.57093111215271,117.202972889674,10.8125786561248,0.2393646993737,149
5,NP-ET-NMPC,12,35038,1,0,74.6268656716418,1955.06311716418,2823.3808,1145.20422728297,3.87303556545848,2.09735440354602,102.468282105845,10.7045145739008,0.219782448159479,134
5,NP-ET-NMPC,13,35039,1,0,75.3731343283582,1972.65509925373,2795.8066,1132.68287564954,3.39239297470626,1.75474712935961,103.976303062813,10.4865356025732,0.218797686541671,134
5,NP-ET-NMPC,14,35040,1,0,75.9124087591241,1986.80239343066,2784.5291,1124.07390966412,2.24306119111247,0.368329534547218,105.626100070586,11.6105313595457,0.227835014590684,137
5,NP-ET-NMPC,15,35041,1,0,74.8091603053435,1956.50263282443,2754.1619,1140.44117375376,1.79625440129177,0.100241203823028,100.847446486599,10.429218109111,0.21471040181893,131
5,NP-ET-NMPC,16,35042,1,0,75.3731343283582,1970.89426492537,2819.5334,1131.76747188925,4.34420383572897,2.11911745348919,102.47340975072,10.6902607972872,0.21971597660782,134
5,NP-ET-NMPC,17,35043,1,0,75.187969924812,1967.56027744361,2765.0113,1135.2998972724,3.57331466429151,1.62219177513076,101.999526596729,10.5856753839305,0.217966882582955,133
5,NP-ET-NMPC,18,35044,1,0,75.187969924812,1972.96765413534,3379.2801,1140.54010100501,2.43700893139255,0.646324893705029,103.461085641643,10.3299663956494,0.216804835399014,133
5,NP-ET-NMPC,19,35045,1,0,75.3731343283582,1978.51183507463,3225.6243,1137.82249343942,4.63076537607313,2.78070168029229,102.477115219487,10.511357059962,0.218880322921493,134
5,NP-ET-NMPC,20,35046,1,0,75.187969924812,1963.27684661654,2728.4216,1132.71032984231,2.71132911958348,0.8905910131196,103.625283428333,11.2689982500714,0.221195104472947,133
5,NP-ET-NMPC,21,35047,1,0,75.9398496240601,1984.91972481203,2801.3197,1122.30942637141,2.24286730422061,0.220493410070411,101.78824445849,10.9141896472615,0.219496818340174,133
5,NP-ET-NMPC,22,35048,1,0,74.6268656716418,1954.17160895522,2771.4082,1144.46718335818,2.73114686153817,0.952494187781481,102.246887929242,10.8094947076292,0.220267935485019,134
5,NP-ET-NMPC,23,35049,1,0,75.3731343283582,1970.91516791045,2766.3769,1131.56966292417,3.45627569524356,1.73513335648205,102.934528087121,10.8456402717583,0.22045206779842,134
5,NP-ET-NMPC,24,35050,1,0,74.4360902255639,1944.04258571429,2775.8963,1144.3663456813,2.3827941601666,0.410736812412887,103.480291781786,11.0519987398992,0.220178184724553,133
5,NP-ET-NMPC,25,35051,1,0,75.3731343283582,1968.02146940298,2743.3168,1129.88615606926,3.02520305847473,1.18040140577684,103.867853219311,10.8984265166091,0.220719395529287,134
5,NP-ET-NMPC,26,35052,0,1,54.4117647058823,1430.44682794118,2739.6412,1319.42620852295,1.74494230809814,-0.0777683673165523,47.5333194971085,4.84643314074687,0.108696062232028,68
5,NP-ET-NMPC,27,35053,1,0,75.3731343283582,1982.51031492537,2791.3914,1138.41850749745,3.1619232244623,1.30440003511923,104.386136961116,10.8084305138494,0.220310503047166,134
5,NP-ET-NMPC,28,35054,1,0,74.4360902255639,1949.91789699248,2788.5269,1147.87926618157,2.60991776187601,0.673697269853082,103.070135254803,11.3462086609528,0.221543450766272,133
5,NP-ET-NMPC,29,35055,1,0,75,1960.88742651515,2777.3597,1137.19796228208,2.69760721096147,0.802125825186242,102.199460997343,11.0270262482283,0.218783064607141,132
5,NP-ET-NMPC,30,35056,1,0,75.3731343283582,1974.12694552239,2891.4903,1133.51382104388,3.10162581813442,1.43095882489601,103.705006147216,10.9675070226113,0.22103848135493,134
5,NP-ET-NMPC,31,35057,1,0,75.187969924812,1961.60702030075,2735.9299,1131.7531251241,2.87073080551105,1.10194067468766,103.226016896272,10.8276532304711,0.219124520148927,133
5,NP-ET-NMPC,32,35058,1,0,74.6268656716418,1951.33506119403,2749.3558,1142.91619729352,3.49045750817333,1.75592149021598,102.946533147562,10.8720856569942,0.220575872305714,134
5,NP-ET-NMPC,33,35059,1,0,76.0869565217391,1994.50437246377,2781.2623,1123.19753086334,3.72558280998599,1.42558280998599,107.316371991599,10.6873344658087,0.224809927842472,138
5,NP-ET-NMPC,34,35060,1,0,75.9398496240601,1989.08070977444,2925.3673,1124.82923975978,3.80255708302132,1.95630209645262,101.587085547958,10.7610343147316,0.218776893945915,133
5,NP-ET-NMPC,35,35061,1,0,75.7352941176471,1979.56752647059,2751.2965,1125.46615477942,2.22218934035428,0.509147288946296,104.153246102265,10.8451390119768,0.222976808821713,136
5,NP-ET-NMPC,36,35062,1,0,75,1961.84984621212,2757.6505,1137.7079594778,4.07151249891082,2.18054199451511,101.785749155371,10.4570180805713,0.216111118570312,132
5,NP-ET-NMPC,37,35063,1,0,75.3731343283582,2041.21299701493,4191.2041,1208.36805878299,3.11700277219866,1.16793330902123,103.926744276043,11.33950927892,0.222781190837661,134
5,NP-ET-NMPC,38,35064,1,0,74.4360902255639,1950.42318721805,2785.5091,1148.10165597943,3.76061419592528,2.04278135754759,101.130081590587,10.7671862732335,0.218795476737134,133
5,NP-ET-NMPC,39,35065,0,1,55.0724637681159,1444.69853478261,2732.2192,1314.71471729881,1.74785482813539,-0.0100495297699583,46.7839056807193,6.01429244128158,0.11538497989559,69
5,NP-ET-NMPC,40,35066,1,0,75.5555555555556,1981.15295185185,2761.7899,1131.87159947752,4.39681692348661,2.40544596694955,104.164359560402,10.656024247462,0.220843619673216,135
