ExperimentType,R_on,R_off,T_ref,RepeatIndex,TriggerRatePercent,AvgCPUms,MaxCPUms,StdCPUms,MinDistanceMeter,MinClearanceMeter,Success,Collision,SwitchCount,Steps
T_ref,0.6,0.2,10,3,80.3030303030303,2126.19205151515,2942.6383,1058.17510127009,3.9809918939354,2.26074717430299,1,0,2,132
T_ref,0.6,0.2,10,4,77.0992366412214,2039.80814656489,2884.9747,1116.95522254939,3.13454969366637,1.12905925310647,1,0,2,131
T_ref,0.6,0.2,10,5,80.794701986755,2145.03923509934,2873.0132,1050.7029934381,3.27121055562738,1.68694159442202,1,0,2,151
T_ref,0.6,0.2,10,6,77.6119402985075,2059.00835970149,3379.4437,1112.97041538724,2.50097708114912,0.88684840235824,1,0,2,134
T_ref,0.6,0.2,10,7,64.7727272727273,1736.69783522727,2959.1821,1289.64886700033,3.63895972170058,1.91319543517662,0,1,1,88
T_ref,0.6,0.2,10,8,79.1044776119403,2094.22495895522,2801.5076,1081.17380689885,2.78590937409448,1.16438847652096,1,0,1,134
T_ref,0.6,0.2,10,9,75.7575757575758,2003.81904090909,2776.086,1138.5520795167,4.25930780089345,2.66743969642981,1,0,2,132
T_ref,0.6,0.2,10,10,81.5286624203822,2169.11368917197,2836.05,1037.30026580245,2.86672604431453,1.15375035173882,1,0,2,157
T_ref,0.6,0.2,10,11,76.1194029850746,2015.19095447761,2821.017,1133.85865231279,4.7023931985468,2.96256492855709,1,0,2,134
T_ref,0.6,0.2,10,12,79.1666666666667,2101.05640416667,2807.5772,1082.44688053474,3.36923883614172,1.57486718644388,1,0,2,144
