Algorithm,RepeatIndex,ScenarioSeed,NumDynamicObstacles,NumStaticBuildings,Success,Collision,MetricValid,FailureReason,TriggerRatePercent,AvgCPUms,MaxCPUms,StdCPUms,MinDistanceMeter,MinClearanceMeter,ControlEffort,TotalClimbMeter,PathLengthMeter,EstimatedEnergyJ,EstimatedEnergyWh,Steps
C-NMPC,19,2045,5,15,1,0,1,Success,100,2481.84490719424,3240.8423,74.9257631953709,2.96877650450355,1.3065987694466,122.65082687534,11.3939081427423,60.3913192442545,2986.81787992275,0.829671633311876,139
C-NMPC,20,2046,5,15,1,0,1,Success,100,2475.66097651515,2649.7278,40.328702495191,3.42161150327057,1.71045774666109,115.049456081056,10.7224476887771,59.5811007800137,2831.50008036262,0.786527800100728,132
C-NMPC,21,2047,5,15,1,0,1,Success,100,2473.67485820895,2591.4314,33.0411907350821,3.17652965518921,1.21332512652011,117.245343788645,10.1086680080594,59.4204168303676,2858.989330061,0.794163702794721,134
C-NMPC,22,2048,5,15,1,0,1,Success,100,2473.50304210526,2622.3827,34.1270916588278,4.58402070441057,2.70428151603904,116.175531898269,10.9117843995346,59.5052586178025,2855.73236013818,0.793258988927273,133
C-NMPC,23,2049,5,15,1,0,1,Success,100,2473.16272686567,2609.3549,36.2951908953466,4.99416243769848,3.27727609541883,115.622121975347,11.1675962489047,59.8101920424903,2878.0030708116,0.799445297447666,134
C-NMPC,24,2050,5,15,1,0,1,Success,100,2476.44229253731,2819.753,55.9921786123413,4.01462610273609,2.13828494975936,116.472750685745,10.8148429091263,59.4780821853107,2872.28894909691,0.797858041415808,134
C-NMPC,25,2051,5,15,1,0,1,Success,100,2472.90034516129,2645.7867,37.6807534750578,2.83722281471718,1.15338476055603,132.903723489225,13.3134300321092,64.7053501246061,3335.67476543915,0.926576323733096,155
C-NMPC,26,2052,5,15,1,0,1,Success,100,2469.12448854962,2578.0054,29.9087995425597,3.66360284799449,1.77154039948817,115.015164101494,9.7136471617532,58.9975263685648,2792.22506818184,0.775618074494956,131
C-NMPC,27,2053,5,15,1,0,1,Success,100,2476.3631030303,2611.6947,38.6620971563121,2.75508416890273,1.02969126728972,115.830392246282,10.5225649676885,59.636364278229,2828.86013234904,0.785794481208068,132
C-NMPC,28,2054,5,15,1,0,1,Success,100,2471.20897651515,2614.2375,34.7226497384827,4.12708694542926,2.20905097005514,113.769592377509,11.202007081015,59.5790566994008,2839.02137646521,0.788617049018114,132
C-NMPC,29,2055,5,15,1,0,1,Success,100,2473.79465611511,2606.8553,32.6809193792348,3.81625116489445,2.12077675740532,122.559782146019,12.7186321914974,61.8372989061742,3014.48338243187,0.837356495119964,139
C-NMPC,30,2056,5,15,1,0,1,Success,100,2472.56256044776,2594.3103,35.858753402073,4.89745295363625,3.26891260467656,114.564004224337,11.2563977850988,59.7412985036515,2877.75357045971,0.799375991794365,134
NP-ET-NMPC,1,2027,5,15,1,0,1,Success,74.4360902255639,1851.10590225564,2949.3666,1089.76685084944,1.99056225644703,0.384610103790335,102.059751008603,11.0006198411717,59.4791460514107,2829.36824624984,0.785935623958288,133
NP-ET-NMPC,2,2028,5,15,1,0,1,Success,74.6268656716418,1848.76321940298,2630.1704,1082.28073611745,2.21711581305548,0.430633338892612,103.597279179688,11.0813026908944,59.5046645596495,2852.13937135439,0.792260936487331,134
NP-ET-NMPC,3,2029,5,15,1,0,1,Success,74.4360902255639,1848.63708721804,2639.5668,1087.74204232888,2.7612562690022,0.785545940508547,102.493248082015,10.7415208477505,59.6925555371935,2824.78860941353,0.784663502614869,133
NP-ET-NMPC,4,2030,5,15,1,0,1,Success,74.8148148148148,1851.46360814815,2596.7805,1078.41708752863,4.07194727572885,2.39061764327463,103.922313287198,11.1009318843166,59.6234485499909,2871.20207325685,0.797556131460236,135
NP-ET-NMPC,5,2031,5,15,1,0,1,Success,75.7352941176471,1876.74502573529,2597.129,1066.29348129409,2.03061303906103,0.193712166296608,106.809432738116,12.6059938025816,61.0274344502244,2926.61486376907,0.812948573269187,136
NP-ET-NMPC,6,2032,5,15,1,0,1,Success,75.5555555555556,1878.51215185185,2717.0541,1072.89066469133,3.40113858043276,1.63530749736844,104.189767957119,10.9445123118533,59.4392624265731,2868.44881972698,0.796791338813051,135
NP-ET-NMPC,7,2033,5,15,1,0,1,Success,75.5395683453237,1872.06935755396,2604.9098,1069.29271594056,4.21551348716383,2.30813634471849,107.490535942596,10.8096629256716,59.5434374147289,2944.21562895842,0.817837674710672,139
NP-ET-NMPC,8,2034,5,15,1,0,1,Success,74.6268656716418,1850.0787738806,2646.6435,1083.13620920277,2.55078345982633,0.558116753710173,103.745015973553,10.8552197226062,59.6826637332165,2847.68225797304,0.791022849436954,134
NP-ET-NMPC,9,2035,5,15,1,0,1,Success,75.3731343283582,1865.73518134328,2605.6517,1070.65862256566,3.13727882554329,1.37138699707146,104.241820922411,10.7916214136773,59.3105563377643,2847.33894056234,0.790927483489538,134
NP-ET-NMPC,10,2036,5,15,1,0,1,Success,75.3731343283582,1869.21018731343,2617.9522,1072.71913286735,3.93615399567529,2.22097775694351,101.852136473045,10.8122489248246,59.3952088766666,2842.99319141579,0.789720330948832,134
NP-ET-NMPC,11,2037,5,15,1,0,1,Success,74.8148148148148,1860.3292962963,2640.3042,1083.70211010824,3.13885754590788,1.12290389170415,102.804120594063,11.0508466391864,59.6380131294597,2867.91282446759,0.796642451240999,135
NP-ET-NMPC,12,2038,5,15,1,0,1,Success,75.3731343283582,1867.72625820896,2639.6594,1071.83983644434,3.03749696839722,1.16362280282973,102.017399338677,10.8857855247137,59.3770495152933,2844.86956152901,0.790241544869171,134
NP-ET-NMPC,13,2039,5,15,1,0,1,Success,74.6268656716418,1849.99445447761,2602.0333,1082.9070815609,2.8056496554369,0.798512146326527,103.100563193479,10.8709322624826,59.4226042859189,2846.72365244757,0.790756570124326,134
NP-ET-NMPC,14,2040,5,15,1,0,1,Success,75.187969924812,1862.67791729323,2636.5201,1074.25319950247,2.39783194494829,0.693065133432785,103.297760512744,10.8923978416324,59.3001738135961,2829.56928422495,0.785991467840263,133
NP-ET-NMPC,15,2041,5,15,1,0,1,Success,75.3731343283582,1869.27484701493,2625.071,1072.65739094716,3.79173732054035,2.01964309595362,102.049958617555,10.7583537368935,59.4346171361084,2842.25588186138,0.789515522739272,134
NP-ET-NMPC,16,2042,5,15,1,0,1,Success,75.5555555555556,1880.66982148148,3046.5289,1075.37744920205,3.99053866343675,2.08073352753614,104.175719806359,10.9710575024126,59.5722427584172,2868.97874125272,0.796938539236866,135
NP-ET-NMPC,17,2043,5,15,1,0,1,Success,74.6268656716418,1850.98737014925,2682.5685,1083.56629332052,2.42344427531726,0.772840259557521,103.471787607931,11.2001757373479,59.6724214038169,2854.38726946597,0.792885352629435,134
NP-ET-NMPC,18,2044,5,15,0,1,0,Collision,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
